codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_elemento_despesa,tipo_fonte,codigo_fonte,valor_atual_categoria_economica,valor_orcado_categoria_economica
48,201000,1,1,1,31,1,2,1,0,31900300,0,0,0,70000
48,201000,2,2,4,122,37,2,2,0,31900400,0,0,0,5000
48,201000,3,3,4,122,37,2,4,0,31900400,0,0,0,1000
48,201000,4,4,4,122,37,2,5,0,31900400,0,0,0,1000
48,201000,5,5,4,122,37,2,6,0,31900100,0,0,0,30000
48,201000,6,6,4,123,37,2,7,0,31900400,0,0,0,1000
48,201000,7,7,8,122,37,2,9,0,31900400,0,0,0,1000
48,201000,8,8,12,122,37,2,23,0,31900400,0,0,0,50000
48,201000,9,9,10,122,37,2,27,0,31900400,0,0,0,120000
48,201000,10,10,4,122,37,2,36,0,31900400,0,0,0,5000
48,201000,11,11,17,512,412,1,22,0,44905100,0,0,0,200000
48,201000,12,12,6,122,37,2,39,0,31900400,0,0,0,1000
48,201000,13,13,4,122,37,2,50,0,33903000,0,0,0,15000
48,201000,14,14,23,695,536,2,41,0,33903000,0,0,0,3000
48,201000,15,15,12,361,231,2,44,0,31900400,0,0,0,200000
48,201000,16,16,4,122,37,2,48,0,31901100,0,0,0,50000
48,201000,18,18,4,124,42,2,52,0,31901100,0,0,0,75000
48,201000,99,99,99,999,999,9,1,0,99999900,0,0,0,364000
48,201100,1,1,1,31,1,2,1,0,31900300,0,0,0,60000
48,201100,2,2,4,122,37,2,2,0,31900400,0,0,0,5000
48,201100,3,3,4,122,37,2,4,0,31901100,0,0,0,40000
48,201100,4,4,4,122,37,2,5,0,31900400,0,0,0,1000
48,201100,5,5,4,122,37,2,6,0,31900100,0,0,0,34807
48,201100,6,6,4,123,37,2,7,0,31900400,0,0,0,5000
48,201100,7,7,8,122,37,2,9,0,31900400,0,0,0,20000
48,201100,8,8,12,122,37,2,23,0,31900400,0,0,0,10000
48,201100,9,9,10,122,37,2,27,0,31900400,0,0,0,170000
48,201100,10,10,4,122,37,2,36,0,31900400,0,0,0,5000
48,201100,11,11,17,544,412,1,23,0,44905100,0,0,0,100000
48,201100,12,12,6,122,37,2,39,0,31900400,0,0,0,5000
48,201100,13,13,4,131,37,2,40,0,31901100,0,0,0,160000
48,201100,14,14,23,695,536,2,41,0,33903000,0,0,0,5000
48,201100,15,15,12,361,231,2,44,0,31900400,0,0,0,600000
48,201100,16,16,4,122,37,2,48,0,31901100,0,0,0,100000
48,201100,17,17,13,392,307,1,8,0,44905100,0,0,0,100000
48,201100,18,18,4,124,42,2,52,0,31901100,0,0,0,180000
48,201100,20,20,18,122,37,2,38,0,31900400,0,0,0,5000
48,201100,21,21,8,243,131,2,12,0,31900400,0,0,0,50000
48,201100,22,22,8,244,137,2,11,0,33903000,0,0,0,7500
48,201100,23,23,8,244,137,1,1,0,44905100,0,0,0,100000
48,201100,24,24,8,244,137,2,19,0,33903000,0,0,0,6000
48,201200,1,1,1,31,1,2,1,0,31900300,0,0,0,60000
48,201200,2,2,4,122,37,2,2,0,31900400,0,0,0,10000
48,201200,3,3,4,122,37,2,4,0,31901100,0,0,0,10000
48,201200,4,4,4,122,37,2,5,0,31901100,0,0,0,300000
48,201200,5,5,4,122,37,2,6,0,31900100,0,0,0,35000
48,201200,6,6,4,123,37,2,7,0,31901100,0,0,0,700000
48,201200,7,7,8,122,37,2,9,0,31901100,0,0,0,1000000
48,201200,8,8,12,361,231,1,5,0,33903900,0,0,0,50000
48,201200,9,9,10,122,37,2,27,0,31900400,0,0,0,900000
48,201200,10,10,4,122,37,2,36,0,31901100,0,0,0,450000
48,201200,11,11,17,544,412,1,23,0,44905100,0,0,0,100000
48,201200,12,12,6,122,37,2,39,0,31901100,0,0,0,1370000
48,201200,13,13,4,131,37,2,40,0,31901100,0,0,0,170000
48,201200,14,14,27,122,37,2,42,0,31901100,0,0,0,240000
48,201200,15,15,12,368,231,2,44,0,31900400,0,0,0,1000000
48,201200,16,16,4,122,37,2,48,0,31901100,0,0,0,100000
48,201200,17,17,13,392,307,1,8,0,44905100,0,0,0,100000
48,201200,18,18,4,124,42,2,52,0,31901100,0,0,0,180000
48,201200,20,20,18,122,37,2,38,0,31901100,0,0,0,150000
48,201200,21,21,8,243,131,2,12,0,33903000,0,0,0,5000
48,201200,22,22,8,244,137,2,11,0,33903000,0,0,0,5000
48,201200,23,23,8,244,137,1,1,0,44905100,0,0,0,100000
48,201200,24,24,8,244,137,2,19,0,33903000,0,0,0,7000
48,201200,25,25,6,182,107,2,62,0,31901100,0,0,0,10000
48,201300,1,1,1,31,1,2,1,0,31900300,0,0,0,60000
48,201300,2,2,4,122,37,2,2,0,31900400,0,0,0,5000
48,201300,3,3,4,122,37,2,4,0,31901100,0,0,0,10000
48,201300,4,4,4,122,37,2,5,0,31901100,0,0,0,220000
48,201300,5,5,4,122,37,2,6,0,31900100,0,0,0,50000
48,201300,6,6,4,122,37,2,63,0,31900100,0,0,0,50000
48,201300,7,7,8,122,37,2,9,0,31900400,0,0,0,25000
48,201300,8,8,12,361,231,1,5,0,33903900,0,0,0,50000
48,201300,9,9,10,122,37,2,27,0,31900400,0,0,0,1200000
48,201300,10,10,4,122,37,2,36,0,31901100,0,0,0,450000
48,201300,11,11,17,544,412,1,23,0,44905100,0,0,0,100000
48,201300,12,12,6,122,37,2,39,0,31901100,0,0,0,1300000
48,201300,13,13,4,131,37,2,40,0,31901100,0,0,0,140000
48,201300,14,14,27,122,37,2,42,0,31901100,0,0,0,240000
48,201300,15,15,12,368,231,2,44,0,31900400,0,0,0,1260000
48,201300,16,16,4,122,37,2,48,0,31901100,0,0,0,120000
48,201300,17,17,13,392,307,1,8,0,44905100,0,0,0,100000
48,201300,18,18,4,124,42,2,52,0,31901100,0,0,0,180000
48,201300,20,20,18,122,37,2,38,0,31901100,0,0,0,200000
48,201300,21,21,8,243,131,2,12,0,33903000,0,0,0,1000
48,201300,22,22,8,244,137,2,11,0,33903000,0,0,0,1000
48,201300,23,23,8,244,137,1,1,0,44905100,0,0,0,100000
48,201300,24,24,8,244,137,2,19,0,33903000,0,0,0,10000
48,201300,25,25,6,182,107,2,62,0,31901100,0,0,0,10000
48,201300,26,26,23,691,491,2,64,0,31901100,0,0,0,134836
48,201400,1,1,1,31,1,2,1,0,31900300,0,0,0,98000
48,201400,2,2,4,122,37,2,2,0,31900400,0,0,0,5000
48,201400,4,4,4,122,37,2,4,0,31901100,0,0,0,380000
48,201400,6,6,4,122,37,2,6,0,31900100,0,0,0,5000
48,201400,7,7,8,122,37,2,9,0,31900400,0,0,0,25000
48,201400,8,8,12,361,231,1,6,0,33903900,0,0,0,500000
48,201400,9,9,10,122,37,2,36,0,31900400,0,0,0,900000
48,201400,10,10,4,122,37,2,50,0,31901100,0,0,0,800000
48,201400,11,11,17,544,412,1,21,0,44905100,0,0,0,100000
48,201400,15,15,12,361,231,2,53,0,31900400,0,0,0,1100000
48,201400,16,16,4,122,37,2,58,0,31901100,0,0,0,200000
48,201400,17,17,13,392,307,1,26,0,44905100,0,0,0,100000
48,201400,20,20,18,122,37,2,63,0,31901100,0,0,0,400000
48,201400,21,21,8,243,131,2,65,0,33504100,0,0,0,20000
48,201400,22,22,8,244,137,2,68,0,33903000,0,0,0,15000
48,201400,23,23,4,122,37,2,69,0,33903000,0,0,0,20000
48,201400,24,24,8,244,137,2,70,0,33903000,0,0,0,10000
48,201400,26,26,23,691,491,2,71,0,31901100,0,0,0,200000
48,201400,27,27,18,541,401,2,72,0,33903000,0,0,0,10000
48,201500,1,1,1,31,1,2,1,0,31900300,1,0,0,98000
48,201500,2,2,4,122,37,2,2,0,31900400,1,0,0,30000
48,201500,4,4,4,122,37,2,4,0,31901100,1,0,0,460000
48,201500,6,6,4,122,37,2,6,0,31900100,1,0,0,53000
48,201500,7,7,8,241,121,2,9,0,31901300,1,0,0,792
48,201500,8,8,12,361,231,1,5,0,33903000,1,0,0,20000
48,201500,9,9,10,122,37,2,36,0,31900400,1,21,0,1700000
48,201500,10,10,4,122,37,2,53,0,31901100,1,0,0,810000
48,201500,11,11,17,544,412,1,27,0,44905100,1,0,0,50000
48,201500,15,15,12,361,231,1,30,0,44905100,2,13,0,60000
48,201500,16,16,4,122,37,2,61,0,31901100,1,0,0,200000
48,201500,17,17,13,392,307,1,34,0,44905100,1,0,0,50000
48,201500,20,20,18,122,37,2,66,0,31901100,1,0,0,400000
48,201500,21,21,8,243,131,2,68,0,33504100,1,0,0,25000
48,201500,22,22,8,244,137,2,71,0,33903000,1,0,0,15000
48,201500,23,23,4,122,37,2,72,0,33903000,1,0,0,20000
48,201500,24,24,8,244,137,2,73,0,33903000,1,0,0,42300
48,201500,26,26,23,691,491,2,74,0,31901100,1,0,0,200000
48,201500,27,27,18,541,401,2,75,0,33903000,1,0,0,20000
48,201500,28,28,8,122,37,2,76,0,31900400,1,0,0,25000
48,201500,29,29,4,182,107,2,79,0,31901100,1,0,0,162000
48,201500,30,30,4,124,42,2,80,0,31901100,1,0,0,186566
48,201500,31,31,4,122,37,2,81,0,31900100,1,0,0,53000
48,201500,32,32,13,392,307,1,42,0,44905100,1,0,0,50000
48,201500,33,33,27,122,37,2,86,0,31901100,1,0,0,182482
48,201500,34,34,4,123,37,2,87,0,31901100,1,0,0,1092021
48,201500,35,35,13,392,307,1,47,0,33903900,1,0,0,10000
48,201600,1,1,1,31,1,2,1,0,31900300,1,1,0,98000
48,201600,2,2,4,122,37,2,2,0,31900400,1,1,0,5000
48,201600,4,4,4,122,37,2,4,0,31901100,1,1,0,400000
48,201600,7,7,8,241,121,2,9,0,31901300,1,1,0,700
48,201600,8,8,12,361,231,1,5,0,33903000,1,2,0,20000
48,201600,9,9,10,122,37,2,36,0,31900400,1,3,0,1100000
48,201600,10,10,4,122,37,2,53,0,31901100,1,1,0,1300000
48,201600,11,11,20,122,37,2,56,0,31901100,1,1,0,350000
48,201600,15,15,12,361,231,1,30,0,44905100,2,14,0,70000
48,201600,16,16,4,122,37,2,61,0,31901100,1,1,0,200000
48,201600,20,20,18,122,37,2,66,0,31901100,1,1,0,526000
48,201600,21,21,8,243,131,2,68,0,33504100,1,1,0,26000
48,201600,22,22,8,244,137,2,71,0,33903000,1,1,0,15000
48,201600,23,23,4,122,37,2,72,0,33903000,1,1,0,20000
48,201600,24,24,8,244,137,2,73,0,31901100,1,1,0,60000
48,201600,26,26,23,691,491,2,74,0,31901100,1,1,0,250000
48,201600,27,27,18,541,401,2,75,0,33903000,2,27,0,20000
48,201600,28,28,8,122,37,2,76,0,31900400,1,1,0,26000
48,201600,29,29,4,182,107,2,79,0,31901100,1,1,0,250000
48,201600,30,30,4,124,42,2,80,0,31901100,1,1,0,250000
48,201600,31,31,4,122,37,2,81,0,31900100,1,1,0,50000
48,201600,32,32,13,392,307,1,34,0,44905100,2,22,0,50000
48,201600,33,33,27,122,37,2,86,0,31901100,1,1,0,450000
48,201600,34,34,4,123,37,2,87,0,31901100,1,1,0,1369472
48,201600,35,35,13,392,307,1,47,0,33903900,1,1,0,5000
48,201700,1,1,1,31,1,2,1,0,31900300,1,1,0,122000
48,201700,2,2,4,122,37,2,2,0,31900400,1,1,0,5000
48,201700,4,4,4,122,37,2,4,0,31901100,1,1,0,510000
48,201700,7,7,8,241,121,2,9,0,31901300,1,1,0,1000
48,201700,8,8,12,361,231,1,5,0,33903000,2,2,0,30000
48,201700,9,9,10,122,37,2,36,0,31900400,2,3,0,200000
48,201700,10,10,4,122,37,2,53,0,31901100,1,1,0,1250000
48,201700,11,11,20,122,37,2,56,0,31901100,1,1,0,430000
48,201700,15,15,12,361,231,1,30,0,44905100,2,14,0,80000
48,201700,16,16,4,122,37,2,61,0,31901100,1,1,0,180000
48,201700,20,20,18,122,37,2,66,0,31901100,1,1,0,510000
48,201700,21,21,8,243,131,2,68,0,33504100,1,1,0,30000
48,201700,22,22,8,244,137,2,71,0,31900400,1,1,0,10000
48,201700,23,23,4,122,37,2,72,0,31900400,1,1,0,39000
48,201700,24,24,8,244,137,2,73,0,31900400,1,1,0,10000
48,201700,26,26,23,691,491,2,74,0,31901100,1,1,0,220000
48,201700,27,27,18,541,401,2,75,0,33903000,2,27,0,20000
48,201700,28,28,8,122,37,2,76,0,31900400,1,1,0,450000
48,201700,29,29,4,182,107,2,79,0,31901100,1,1,0,150000
48,201700,30,30,4,124,42,2,80,0,31901100,1,1,0,400000
48,201700,31,31,4,122,37,2,81,0,31900100,1,1,0,70000
48,201700,32,32,13,392,307,1,34,0,44905100,2,22,0,80000
48,201700,33,33,27,122,37,2,86,0,31901100,1,1,0,450000
48,201700,34,34,4,123,37,2,87,0,31901100,1,1,0,2300000
48,201700,35,35,13,392,307,1,47,0,33903900,1,1,0,5000
48,201800,1,1,1,31,1,2,1,0,31900300,1,1,0,121216
48,201800,2,2,4,122,37,2,2,0,31900400,1,1,0,5000
48,201800,4,4,4,122,37,2,4,0,31901100,1,1,0,415000
48,201800,7,7,4,122,37,2,125,0,31900400,1,1,0,5000
48,201800,8,8,12,361,231,1,5,0,33903000,2,2,0,30000
48,201800,9,9,4,122,37,2,124,0,31900400,1,1,0,8000
48,201800,10,10,4,122,37,2,53,0,31901100,1,1,0,2800000
48,201800,11,11,20,122,37,2,56,0,31901100,1,1,0,430000
48,201800,15,15,12,361,231,1,30,0,44905100,2,14,0,150000
48,201800,16,16,4,122,37,2,61,0,31901100,1,1,0,60000
48,201800,20,20,18,122,37,2,66,0,31901100,1,1,0,450000
48,201800,21,21,8,243,131,2,68,0,33504100,1,1,0,30000
48,201800,22,22,8,244,137,2,71,0,31900400,1,1,0,10000
48,201800,23,23,4,122,37,2,72,0,31900400,1,1,0,39000
48,201800,24,24,8,244,137,2,73,0,31900400,1,1,0,10000
48,201800,26,26,23,691,491,2,74,0,31901100,1,1,0,220000
48,201800,27,27,18,541,401,2,75,0,33903000,2,27,0,20000
48,201800,28,28,8,122,37,2,76,0,31900400,1,1,0,100000
48,201800,29,29,4,182,107,2,79,0,31901100,1,1,0,100000
48,201800,30,30,4,124,42,2,80,0,31901100,1,1,0,400000
48,201800,31,31,4,122,37,2,81,0,31900100,1,1,0,70000
48,201800,32,32,13,392,307,1,34,0,44905100,2,22,0,80000
48,201800,33,33,27,122,37,2,86,0,31901100,1,1,0,160000
48,201800,34,34,4,123,37,2,87,0,31901100,1,1,0,2000000
48,201800,35,35,4,122,37,2,122,0,31901100,1,1,0,800000
48,201800,36,36,12,122,37,2,121,0,31900400,2,2,0,100000
48,201800,37,37,10,122,37,2,36,0,31900400,2,3,0,50000
48,201900,1,1,1,31,1,2,1,0,31900300,1,1000000,0,130000
48,201900,2,2,4,122,37,2,2,0,31900400,1,1000000,0,5000
48,201900,4,4,4,122,37,2,4,0,31900400,1,1000000,0,10000
